Employee,Employee_Name,Is_Guest,Date,Status,Location,Day,,
2006,LeviHudson,,06-02-2024,WFO,Bangalore,Tuesday,,
1946,SiennaFoster,,06-02-2024,WFH,Bangalore,Tuesday,,
1981,MayaWhite,,06-02-2024,CO,Bangalore,Tuesday,,
2012,DavidRodriguez,,06-02-2024,WFO,Bangalore,Tuesday,,
1781,TheodoreSanchez,,06-02-2024,WFH,Bangalore,Tuesday,,
2221,Casey Reed,,06-02-2024,WFO,Bangalore,Tuesday,,
2020,BraydenScott,,06-02-2024,WFO,Bangalore,Tuesday,,
2022,ScarlettKing,,06-02-2024,WFO,Bangalore,Tuesday,,
2224,Blake Allen,,06-02-2024,WFO,Bangalore,Tuesday,,
1957,EverlyMartin,,06-02-2024,WFH,Bangalore,Tuesday,,
1947,SkylarBryant,,06-02-2024,WFO,Bangalore,Tuesday,,
1941,EvelynHall,,07-02-2024,WFH,Bangalore,Wednesday,,
1973,EmmaBishop,,07-02-2024,WFH,Bangalore,Wednesday,,
2214,Shawn Peterson,,07-02-2024,WFH,Bangalore,Wednesday,,
2024,PhoebePerry,,07-02-2024,WFO,Bangalore,Wednesday,,
2059,Sundar,1,07-02-2024,WFH,Bangalore,Wednesday,,
2017,AlexanderShaw,,07-02-2024,CO,Bangalore,Wednesday,,
2056,BrooklynHernandez,,07-02-2024,WFH,Bangalore,Wednesday,,
2057,GabrielLee,1,07-02-2024,WFH,Bangalore,Wednesday,,
2058,Mukund,1,07-02-2024,WFH,Bangalore,Wednesday,,
1953,HarperMurphy,,07-02-2024,WFH,Bangalore,Wednesday,,
2018,LaylaCameron,,07-02-2024,WFH,Bangalore,Wednesday,,
2222,Alex Perry,,07-02-2024,WFH,Bangalore,Wednesday,,
1957,EverlyMartin,,07-02-2024,WFH,Bangalore,Wednesday,,
2002,LeahGeorge,,07-02-2024,WFH,Bangalore,Wednesday,,
2022,ScarlettKing,,07-02-2024,WFH,Bangalore,Wednesday,,
2005,MilaRodriguez,,07-02-2024,WFO,Bangalore,Wednesday,,
1946,SiennaFoster,,07-02-2024,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,07-02-2024,WFO,Bangalore,Wednesday,,
2213,Elliot Powell,,07-02-2024,WFH,Bangalore,Wednesday,,
2006,LeviHudson,,07-02-2024,WFH,Bangalore,Wednesday,,
1781,TheodoreSanchez,,07-02-2024,WFH,Bangalore,Wednesday,,
1981,MayaWhite,,07-02-2024,CO,Bangalore,Wednesday,,
1947,SkylarBryant,,07-02-2024,WFH,Bangalore,Wednesday,,
2221,Casey Reed,,07-02-2024,WFH,Bangalore,Wednesday,,
2224,Blake Allen,,07-02-2024,WFO,Bangalore,Wednesday,,
2020,BraydenScott,,07-02-2024,WFO,Bangalore,Wednesday,,
2012,DavidRodriguez,,07-02-2024,WFO,Bangalore,Wednesday,,
1953,HarperMurphy,,08-02-2024,WFO,Bangalore,Thursday,,
1941,EvelynHall,,08-02-2024,WFH,Bangalore,Thursday,,
1973,EmmaBishop,,08-02-2024,WFH,Bangalore,Thursday,,
2214,Shawn Peterson,,08-02-2024,WFH,Bangalore,Thursday,,
2017,AlexanderShaw,,08-02-2024,CO,Bangalore,Thursday,,
2018,LaylaCameron,,08-02-2024,WFH,Bangalore,Thursday,,
2056,BrooklynHernandez,,08-02-2024,WFH,Bangalore,Thursday,,
2057,GabrielLee,1,08-02-2024,WFH,Bangalore,Thursday,,
2058,Mukund,1,08-02-2024,WFH,Bangalore,Thursday,,
2059,Sundar,1,08-02-2024,WFH,Bangalore,Thursday,,
2024,PhoebePerry,,08-02-2024,WFH,Bangalore,Thursday,,
2222,Alex Perry,,08-02-2024,WFO,Bangalore,Thursday,,
2002,LeahGeorge,,08-02-2024,WFH,Bangalore,Thursday,,
1957,EverlyMartin,,08-02-2024,WFH,Bangalore,Thursday,,
2224,Blake Allen,,08-02-2024,WFO,Bangalore,Thursday,,
2020,BraydenScott,,08-02-2024,WFH,Bangalore,Thursday,,
1781,TheodoreSanchez,,08-02-2024,WFH,Bangalore,Thursday,,
1947,SkylarBryant,,08-02-2024,OL,Bangalore,Thursday,,
1981,MayaWhite,,08-02-2024,WFH,Bangalore,Thursday,,
2012,DavidRodriguez,,08-02-2024,WFO,Bangalore,Thursday,,
2006,LeviHudson,,08-02-2024,WFH,Bangalore,Thursday,,
2213,Elliot Powell,,08-02-2024,WFH,Bangalore,Thursday,,
2218,Jesse Morgan,,08-02-2024,WFH,Bangalore,Thursday,,
1946,SiennaFoster,,08-02-2024,WFH,Bangalore,Thursday,,
2022,ScarlettKing,,08-02-2024,WFH,Bangalore,Thursday,,
2005,MilaRodriguez,,08-02-2024,WFH,Bangalore,Thursday,,
2221,Casey Reed,,08-02-2024,WFO,Bangalore,Thursday,,
2221,Casey Reed,,09-02-2024,WFO,Bangalore,Friday,,
1946,SiennaFoster,,09-02-2024,WFH,Bangalore,Friday,,
2059,Sundar,1,09-02-2024,WFH,Bangalore,Friday,,
2058,Mukund,1,09-02-2024,WFH,Bangalore,Friday,,
2057,GabrielLee,1,09-02-2024,WFH,Bangalore,Friday,,
2056,BrooklynHernandez,,09-02-2024,WFH,Bangalore,Friday,,
2017,AlexanderShaw,,09-02-2024,CO,Bangalore,Friday,,
2018,LaylaCameron,,09-02-2024,WFO,Bangalore,Friday,,
2214,Shawn Peterson,,09-02-2024,WFH,Bangalore,Friday,,
1973,EmmaBishop,,09-02-2024,WFH,Bangalore,Friday,,
1941,EvelynHall,,09-02-2024,WFO,Bangalore,Friday,,
1953,HarperMurphy,,09-02-2024,WFH,Bangalore,Friday,,
2222,Alex Perry,,09-02-2024,WFO,Bangalore,Friday,,
2005,MilaRodriguez,,09-02-2024,WFO,Bangalore,Friday,,
2024,PhoebePerry,,09-02-2024,WFO,Bangalore,Friday,,
1957,EverlyMartin,,09-02-2024,WFH,Bangalore,Friday,,
2002,LeahGeorge,,09-02-2024,WFH,Bangalore,Friday,,
2218,Jesse Morgan,,09-02-2024,WFO,Bangalore,Friday,,
2213,Elliot Powell,,09-02-2024,WFH,Bangalore,Friday,,
2006,LeviHudson,,09-02-2024,WFH,Bangalore,Friday,,
1981,MayaWhite,,09-02-2024,CO,Bangalore,Friday,,
2012,DavidRodriguez,,09-02-2024,WFO,Bangalore,Friday,,
1781,TheodoreSanchez,,09-02-2024,WFH,Bangalore,Friday,,
2022,ScarlettKing,,09-02-2024,WFO,Bangalore,Friday,,
2020,BraydenScott,,09-02-2024,WFH,Bangalore,Friday,,
2224,Blake Allen,,09-02-2024,WFO,Bangalore,Friday,,
1947,SkylarBryant,,09-02-2024,WFH,Bangalore,Friday,,
1953,HarperMurphy,,12-02-2024,CO,Bangalore,Monday,,
2214,Shawn Peterson,,12-02-2024,WFH,Bangalore,Monday,,
1941,EvelynHall,,12-02-2024,WFH,Bangalore,Monday,,
1973,EmmaBishop,,12-02-2024,WFH,Bangalore,Monday,,
2024,PhoebePerry,,12-02-2024,WFO,Bangalore,Monday,,
2059,Sundar,1,12-02-2024,WFH,Bangalore,Monday,,
2017,AlexanderShaw,,12-02-2024,WFO,Bangalore,Monday,,
2056,BrooklynHernandez,,12-02-2024,WFO,Bangalore,Monday,,
2057,GabrielLee,1,12-02-2024,WFH,Bangalore,Monday,,
2058,Mukund,1,12-02-2024,WFH,Bangalore,Monday,,
2222,Alex Perry,,12-02-2024,WFH,Bangalore,Monday,,
2018,LaylaCameron,,12-02-2024,WFH,Bangalore,Monday,,
2005,MilaRodriguez,,12-02-2024,WFH,Bangalore,Monday,,
1981,MayaWhite,,12-02-2024,CO,Bangalore,Monday,,
1957,EverlyMartin,,12-02-2024,WFH,Bangalore,Monday,,
2002,LeahGeorge,,12-02-2024,WFH,Bangalore,Monday,,
1946,SiennaFoster,,12-02-2024,WFH,Bangalore,Monday,,
2218,Jesse Morgan,,12-02-2024,WFO,Bangalore,Monday,,
2213,Elliot Powell,,12-02-2024,WFH,Bangalore,Monday,,
2006,LeviHudson,,12-02-2024,WFO,Bangalore,Monday,,
2012,DavidRodriguez,,12-02-2024,WFO,Bangalore,Monday,,
2022,ScarlettKing,,12-02-2024,WFO,Bangalore,Monday,,
1947,SkylarBryant,,12-02-2024,WFO,Bangalore,Monday,,
1781,TheodoreSanchez,,12-02-2024,WFH,Bangalore,Monday,,
2221,Casey Reed,,12-02-2024,WFO,Bangalore,Monday,,
2020,BraydenScott,,12-02-2024,WFH,Bangalore,Monday,,
2224,Blake Allen,,12-02-2024,WFO,Bangalore,Monday,,
1953,HarperMurphy,,13-02-2024,CO,Bangalore,Tuesday,,
1941,EvelynHall,,13-02-2024,WFH,Bangalore,Tuesday,,
1973,EmmaBishop,,13-02-2024,WFO,Bangalore,Tuesday,,
2214,Shawn Peterson,,13-02-2024,WFO,Bangalore,Tuesday,,
2024,PhoebePerry,,13-02-2024,WFO,Bangalore,Tuesday,,
2056,BrooklynHernandez,,13-02-2024,WFO,Bangalore,Tuesday,,
2017,AlexanderShaw,,13-02-2024,WFH,Bangalore,Tuesday,,
2222,Alex Perry,,13-02-2024,WFH,Bangalore,Tuesday,,
2057,GabrielLee,1,13-02-2024,WFH,Bangalore,Tuesday,,
2058,Mukund,1,13-02-2024,WFH,Bangalore,Tuesday,,
2059,Sundar,1,13-02-2024,WFH,Bangalore,Tuesday,,
2018,LaylaCameron,,13-02-2024,WFH,Bangalore,Tuesday,,
2005,MilaRodriguez,,13-02-2024,WFH,Bangalore,Tuesday,,
1981,MayaWhite,,13-02-2024,CO,Bangalore,Tuesday,,
1957,EverlyMartin,,13-02-2024,WFH,Bangalore,Tuesday,,
1946,SiennaFoster,,13-02-2024,WFH,Bangalore,Tuesday,,
2218,Jesse Morgan,,13-02-2024,WFO,Bangalore,Tuesday,,
2213,Elliot Powell,,13-02-2024,WFH,Bangalore,Tuesday,,
2006,LeviHudson,,13-02-2024,WFH,Bangalore,Tuesday,,
2012,DavidRodriguez,,13-02-2024,WFO,Bangalore,Tuesday,,
2022,ScarlettKing,,13-02-2024,WFO,Bangalore,Tuesday,,
1947,SkylarBryant,,13-02-2024,WFO,Bangalore,Tuesday,,
2224,Blake Allen,,13-02-2024,WFO,Bangalore,Tuesday,,
2020,BraydenScott,,13-02-2024,WFH,Bangalore,Tuesday,,
2002,LeahGeorge,,13-02-2024,WFO,Bangalore,Tuesday,,
1781,TheodoreSanchez,,13-02-2024,WFH,Bangalore,Tuesday,,
2221,Casey Reed,,13-02-2024,OL,Bangalore,Tuesday,,
2005,MilaRodriguez,,14-02-2024,OL,Bangalore,Wednesday,,
2058,Mukund,1,14-02-2024,WFH,Bangalore,Wednesday,,
2057,GabrielLee,1,14-02-2024,WFH,Bangalore,Wednesday,,
2056,BrooklynHernandez,,14-02-2024,WFO,Bangalore,Wednesday,,
2059,Sundar,1,14-02-2024,WFH,Bangalore,Wednesday,,
2018,LaylaCameron,,14-02-2024,WFO,Bangalore,Wednesday,,
2024,PhoebePerry,,14-02-2024,WFH,Bangalore,Wednesday,,
2214,Shawn Peterson,,14-02-2024,WFH,Bangalore,Wednesday,,
1973,EmmaBishop,,14-02-2024,WFO,Bangalore,Wednesday,,
1941,EvelynHall,,14-02-2024,WFH,Bangalore,Wednesday,,
1953,HarperMurphy,,14-02-2024,CO,Bangalore,Wednesday,,
2222,Alex Perry,,14-02-2024,WFH,Bangalore,Wednesday,,
2017,AlexanderShaw,,14-02-2024,WFH,Bangalore,Wednesday,,
2002,LeahGeorge,,14-02-2024,WFO,Bangalore,Wednesday,,
2224,Blake Allen,,14-02-2024,WFH,Bangalore,Wednesday,,
1957,EverlyMartin,,14-02-2024,OL,Bangalore,Wednesday,,
2022,ScarlettKing,,14-02-2024,WFH,Bangalore,Wednesday,,
1946,SiennaFoster,,14-02-2024,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,14-02-2024,OL,Bangalore,Wednesday,,
2006,LeviHudson,,14-02-2024,WFH,Bangalore,Wednesday,,
2213,Elliot Powell,,14-02-2024,WFH,Bangalore,Wednesday,,
1981,MayaWhite,,14-02-2024,OL,Bangalore,Wednesday,,
1947,SkylarBryant,,14-02-2024,WFH,Bangalore,Wednesday,,
1781,TheodoreSanchez,,14-02-2024,WFH,Bangalore,Wednesday,,
2221,Casey Reed,,14-02-2024,WFH,Bangalore,Wednesday,,
2020,BraydenScott,,14-02-2024,WFH,Bangalore,Wednesday,,
2012,DavidRodriguez,,14-02-2024,WFO,Bangalore,Wednesday,,
1973,EmmaBishop,,15-02-2024,WFH,Bangalore,Thursday,,
2222,Alex Perry,,15-02-2024,WFO,Bangalore,Thursday,,
1953,HarperMurphy,,15-02-2024,CO,Bangalore,Thursday,,
1941,EvelynHall,,15-02-2024,WFH,Bangalore,Thursday,,
2214,Shawn Peterson,,15-02-2024,WFH,Bangalore,Thursday,,
2005,MilaRodriguez,,15-02-2024,OL,Bangalore,Thursday,,
2017,AlexanderShaw,,15-02-2024,WFH,Bangalore,Thursday,,
2056,BrooklynHernandez,,15-02-2024,WFO,Bangalore,Thursday,,
2057,GabrielLee,1,15-02-2024,WFH,Bangalore,Thursday,,
2058,Mukund,1,15-02-2024,WFH,Bangalore,Thursday,,
2059,Sundar,1,15-02-2024,WFH,Bangalore,Thursday,,
2018,LaylaCameron,,15-02-2024,WFH,Bangalore,Thursday,,
2002,LeahGeorge,,15-02-2024,WFH,Bangalore,Thursday,,
2024,PhoebePerry,,15-02-2024,WFH,Bangalore,Thursday,,
2224,Blake Allen,,15-02-2024,CO,Bangalore,Thursday,,
1946,SiennaFoster,,15-02-2024,WFH,Bangalore,Thursday,,
2218,Jesse Morgan,,15-02-2024,OL,Bangalore,Thursday,,
2213,Elliot Powell,,15-02-2024,WFH,Bangalore,Thursday,,
2006,LeviHudson,,15-02-2024,WFH,Bangalore,Thursday,,
2012,DavidRodriguez,,15-02-2024,WFH,Bangalore,Thursday,,
2022,ScarlettKing,,15-02-2024,WFH,Bangalore,Thursday,,
1981,MayaWhite,,15-02-2024,WFH,Bangalore,Thursday,,
1947,SkylarBryant,,15-02-2024,WFH,Bangalore,Thursday,,
1781,TheodoreSanchez,,15-02-2024,WFH,Bangalore,Thursday,,
2221,Casey Reed,,15-02-2024,WFH,Bangalore,Thursday,,
2020,BraydenScott,,15-02-2024,WFH,Bangalore,Thursday,,
1957,EverlyMartin,,15-02-2024,WFH,Bangalore,Thursday,,
1953,HarperMurphy,,16-02-2024,CO,Bangalore,Friday,,
1941,EvelynHall,,16-02-2024,CO,Bangalore,Friday,,
1973,EmmaBishop,,16-02-2024,WFH,Bangalore,Friday,,
2214,Shawn Peterson,,16-02-2024,WFH,Bangalore,Friday,,
2024,PhoebePerry,,16-02-2024,WFO,Bangalore,Friday,,
2056,BrooklynHernandez,,16-02-2024,WFO,Bangalore,Friday,,
2017,AlexanderShaw,,16-02-2024,WFO,Bangalore,Friday,,
2057,GabrielLee,1,16-02-2024,WFH,Bangalore,Friday,,
2058,Mukund,1,16-02-2024,WFH,Bangalore,Friday,,
2059,Sundar,1,16-02-2024,WFH,Bangalore,Friday,,
2222,Alex Perry,,16-02-2024,WFO,Bangalore,Friday,,
2018,LaylaCameron,,16-02-2024,WFH,Bangalore,Friday,,
2005,MilaRodriguez,,16-02-2024,OL,Bangalore,Friday,,
2002,LeahGeorge,,16-02-2024,WFH,Bangalore,Friday,,
1957,EverlyMartin,,16-02-2024,WFH,Bangalore,Friday,,
1946,SiennaFoster,,16-02-2024,WFH,Bangalore,Friday,,
2218,Jesse Morgan,,16-02-2024,WFH,Bangalore,Friday,,
2213,Elliot Powell,,16-02-2024,WFH,Bangalore,Friday,,
2006,LeviHudson,,16-02-2024,WFH,Bangalore,Friday,,
2012,DavidRodriguez,,16-02-2024,WFO,Bangalore,Friday,,
2022,ScarlettKing,,16-02-2024,WFH,Bangalore,Friday,,
1947,SkylarBryant,,16-02-2024,WFH,Bangalore,Friday,,
1781,TheodoreSanchez,,16-02-2024,WFH,Bangalore,Friday,,
2221,Casey Reed,,16-02-2024,WFH,Bangalore,Friday,,
2020,BraydenScott,,16-02-2024,WFH,Bangalore,Friday,,
2224,Blake Allen,,16-02-2024,CO,Bangalore,Friday,,
1981,MayaWhite,,16-02-2024,OL,Bangalore,Friday,,
2222,Alex Perry,,19-02-2024,WFH,Bangalore,Monday,,
1953,HarperMurphy,,19-02-2024,WFO,Bangalore,Monday,,
1941,EvelynHall,,19-02-2024,WFO,Bangalore,Monday,,
1973,EmmaBishop,,19-02-2024,WFO,Bangalore,Monday,,
2214,Shawn Peterson,,19-02-2024,WFO,Bangalore,Monday,,
2017,AlexanderShaw,,19-02-2024,WFO,Bangalore,Monday,,
2018,LaylaCameron,,19-02-2024,WFO,Bangalore,Monday,,
2056,BrooklynHernandez,,19-02-2024,WFO,Bangalore,Monday,,
2057,GabrielLee,1,19-02-2024,WFH,Bangalore,Monday,,
2058,Mukund,1,19-02-2024,WFO,Bangalore,Monday,,
2005,MilaRodriguez,,19-02-2024,OL,Bangalore,Monday,,
2024,PhoebePerry,,19-02-2024,WFO,Bangalore,Monday,,
2002,LeahGeorge,,19-02-2024,WFO,Bangalore,Monday,,
2059,Sundar,1,19-02-2024,WFO,Bangalore,Monday,,
2224,Blake Allen,,19-02-2024,WFO,Bangalore,Monday,,
2022,ScarlettKing,,19-02-2024,WFO,Bangalore,Monday,,
1946,SiennaFoster,,19-02-2024,OL,Bangalore,Monday,,
2218,Jesse Morgan,,19-02-2024,WFH,Bangalore,Monday,,
2213,Elliot Powell,,19-02-2024,WFO,Bangalore,Monday,,
2006,LeviHudson,,19-02-2024,WFO,Bangalore,Monday,,
1957,EverlyMartin,,19-02-2024,WFO,Bangalore,Monday,,
1981,MayaWhite,,19-02-2024,CO,Bangalore,Monday,,
1947,SkylarBryant,,19-02-2024,WFO,Bangalore,Monday,,
1781,TheodoreSanchez,,19-02-2024,WFH,Bangalore,Monday,,
2221,Casey Reed,,19-02-2024,OL,Bangalore,Monday,,
2020,BraydenScott,,19-02-2024,WFO,Bangalore,Monday,,
2012,DavidRodriguez,,19-02-2024,WFO,Bangalore,Monday,,
2222,Alex Perry,,20-02-2024,WFH,Bangalore,Tuesday,,
1953,HarperMurphy,,20-02-2024,WFO,Bangalore,Tuesday,,
1941,EvelynHall,,20-02-2024,WFO,Bangalore,Tuesday,,
1973,EmmaBishop,,20-02-2024,WFO,Bangalore,Tuesday,,
2214,Shawn Peterson,,20-02-2024,WFO,Bangalore,Tuesday,,
2017,AlexanderShaw,,20-02-2024,WFH,Bangalore,Tuesday,,
2018,LaylaCameron,,20-02-2024,WFO,Bangalore,Tuesday,,
2056,BrooklynHernandez,,20-02-2024,WFO,Bangalore,Tuesday,,
2057,GabrielLee,1,20-02-2024,WFH,Bangalore,Tuesday,,
2058,Mukund,1,20-02-2024,WFO,Bangalore,Tuesday,,
2005,MilaRodriguez,,20-02-2024,WFH,Bangalore,Tuesday,,
2024,PhoebePerry,,20-02-2024,WFO,Bangalore,Tuesday,,
2002,LeahGeorge,,20-02-2024,WFH,Bangalore,Tuesday,,
2059,Sundar,1,20-02-2024,WFO,Bangalore,Tuesday,,
2224,Blake Allen,,20-02-2024,WFO,Bangalore,Tuesday,,
2022,ScarlettKing,,20-02-2024,WFO,Bangalore,Tuesday,,
1946,SiennaFoster,,20-02-2024,OL,Bangalore,Tuesday,,
2218,Jesse Morgan,,20-02-2024,WFO,Bangalore,Tuesday,,
2213,Elliot Powell,,20-02-2024,WFO,Bangalore,Tuesday,,
2006,LeviHudson,,20-02-2024,WFH,Bangalore,Tuesday,,
1957,EverlyMartin,,20-02-2024,WFH,Bangalore,Tuesday,,
1981,MayaWhite,,20-02-2024,WFH,Bangalore,Tuesday,,
1947,SkylarBryant,,20-02-2024,WFO,Bangalore,Tuesday,,
1781,TheodoreSanchez,,20-02-2024,WFH,Bangalore,Tuesday,,
2221,Casey Reed,,20-02-2024,WFH,Bangalore,Tuesday,,
2020,BraydenScott,,20-02-2024,WFO,Bangalore,Tuesday,,
2012,DavidRodriguez,,20-02-2024,WFO,Bangalore,Tuesday,,
2222,Alex Perry,,21-02-2024,WFH,Bangalore,Wednesday,,
1953,HarperMurphy,,21-02-2024,WFO,Bangalore,Wednesday,,
1941,EvelynHall,,21-02-2024,WFO,Bangalore,Wednesday,,
1973,EmmaBishop,,21-02-2024,WFH,Bangalore,Wednesday,,
2214,Shawn Peterson,,21-02-2024,WFH,Bangalore,Wednesday,,
2017,AlexanderShaw,,21-02-2024,WFO,Bangalore,Wednesday,,
2018,LaylaCameron,,21-02-2024,WFO,Bangalore,Wednesday,,
2056,BrooklynHernandez,,21-02-2024,WFO,Bangalore,Wednesday,,
2057,GabrielLee,1,21-02-2024,WFH,Bangalore,Wednesday,,
2058,Mukund,1,21-02-2024,WFO,Bangalore,Wednesday,,
2005,MilaRodriguez,,21-02-2024,WFH,Bangalore,Wednesday,,
2024,PhoebePerry,,21-02-2024,WFO,Bangalore,Wednesday,,
2059,Sundar,1,21-02-2024,WFH,Bangalore,Wednesday,,
2002,LeahGeorge,,21-02-2024,WFH,Bangalore,Wednesday,,
2224,Blake Allen,,21-02-2024,WFO,Bangalore,Wednesday,,
1957,EverlyMartin,,21-02-2024,WFO,Bangalore,Wednesday,,
2022,ScarlettKing,,21-02-2024,WFO,Bangalore,Wednesday,,
1946,SiennaFoster,,21-02-2024,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,21-02-2024,WFO,Bangalore,Wednesday,,
2006,LeviHudson,,21-02-2024,WFH,Bangalore,Wednesday,,
2213,Elliot Powell,,21-02-2024,WFO,Bangalore,Wednesday,,
1981,MayaWhite,,21-02-2024,CO,Bangalore,Wednesday,,
1947,SkylarBryant,,21-02-2024,WFO,Bangalore,Wednesday,,
1781,TheodoreSanchez,,21-02-2024,WFH,Bangalore,Wednesday,,
2221,Casey Reed,,21-02-2024,WFH,Bangalore,Wednesday,,
2020,BraydenScott,,21-02-2024,WFO,Bangalore,Wednesday,,
2012,DavidRodriguez,,21-02-2024,WFO,Bangalore,Wednesday,,
1973,EmmaBishop,,22-02-2024,WFH,Bangalore,Thursday,,
2222,Alex Perry,,22-02-2024,WFH,Bangalore,Thursday,,
1953,HarperMurphy,,22-02-2024,WFH,Bangalore,Thursday,,
1941,EvelynHall,,22-02-2024,WFO,Bangalore,Thursday,,
2214,Shawn Peterson,,22-02-2024,WFH,Bangalore,Thursday,,
2005,MilaRodriguez,,22-02-2024,WFH,Bangalore,Thursday,,
2018,LaylaCameron,,22-02-2024,WFO,Bangalore,Thursday,,
2059,Sundar,1,22-02-2024,WFH,Bangalore,Thursday,,
2056,BrooklynHernandez,,22-02-2024,WFO,Bangalore,Thursday,,
2057,GabrielLee,1,22-02-2024,WFH,Bangalore,Thursday,,
2058,Mukund,1,22-02-2024,WFH,Bangalore,Thursday,,
2024,PhoebePerry,,22-02-2024,WFH,Bangalore,Thursday,,
2002,LeahGeorge,,22-02-2024,WFO,Bangalore,Thursday,,
2017,AlexanderShaw,,22-02-2024,WFH,Bangalore,Thursday,,
2224,Blake Allen,,22-02-2024,WFO,Bangalore,Thursday,,
2022,ScarlettKing,,22-02-2024,WFH,Bangalore,Thursday,,
1946,SiennaFoster,,22-02-2024,WFH,Bangalore,Thursday,,
2218,Jesse Morgan,,22-02-2024,WFH,Bangalore,Thursday,,
2213,Elliot Powell,,22-02-2024,WFO,Bangalore,Thursday,,
2006,LeviHudson,,22-02-2024,WFH,Bangalore,Thursday,,
1957,EverlyMartin,,22-02-2024,WFH,Bangalore,Thursday,,
1981,MayaWhite,,22-02-2024,WFH,Bangalore,Thursday,,
1947,SkylarBryant,,22-02-2024,WFH,Bangalore,Thursday,,
1781,TheodoreSanchez,,22-02-2024,WFH,Bangalore,Thursday,,
2221,Casey Reed,,22-02-2024,WFH,Bangalore,Thursday,,
2020,BraydenScott,,22-02-2024,WFH,Bangalore,Thursday,,
2012,DavidRodriguez,,22-02-2024,WFH,Bangalore,Thursday,,
1953,HarperMurphy,,23-02-2024,WFO,Bangalore,Friday,,
1941,EvelynHall,,23-02-2024,WFH,Bangalore,Friday,,
1973,EmmaBishop,,23-02-2024,WFH,Bangalore,Friday,,
2214,Shawn Peterson,,23-02-2024,WFH,Bangalore,Friday,,
2024,PhoebePerry,,23-02-2024,WFO,Bangalore,Friday,,
2056,BrooklynHernandez,,23-02-2024,WFO,Bangalore,Friday,,
2017,AlexanderShaw,,23-02-2024,WFO,Bangalore,Friday,,
2057,GabrielLee,1,23-02-2024,WFH,Bangalore,Friday,,
2058,Mukund,1,23-02-2024,WFO,Bangalore,Friday,,
2059,Sundar,1,23-02-2024,WFH,Bangalore,Friday,,
2222,Alex Perry,,23-02-2024,WFH,Bangalore,Friday,,
2018,LaylaCameron,,23-02-2024,WFO,Bangalore,Friday,,
2005,MilaRodriguez,,23-02-2024,WFH,Bangalore,Friday,,
2002,LeahGeorge,,23-02-2024,WFH,Bangalore,Friday,,
1957,EverlyMartin,,23-02-2024,WFH,Bangalore,Friday,,
1946,SiennaFoster,,23-02-2024,WFO,Bangalore,Friday,,
2218,Jesse Morgan,,23-02-2024,WFO,Bangalore,Friday,,
2213,Elliot Powell,,23-02-2024,WFH,Bangalore,Friday,,
2006,LeviHudson,,23-02-2024,WFH,Bangalore,Friday,,
2012,DavidRodriguez,,23-02-2024,WFO,Bangalore,Friday,,
2022,ScarlettKing,,23-02-2024,WFO,Bangalore,Friday,,
1947,SkylarBryant,,23-02-2024,WFH,Bangalore,Friday,,
1781,TheodoreSanchez,,23-02-2024,WFH,Bangalore,Friday,,
2221,Casey Reed,,23-02-2024,WFO,Bangalore,Friday,,
2020,BraydenScott,,23-02-2024,WFH,Bangalore,Friday,,
2224,Blake Allen,,23-02-2024,WFO,Bangalore,Friday,,
1981,MayaWhite,,23-02-2024,CO,Bangalore,Friday,,
2222,Alex Perry,,26-02-2024,WFH,Bangalore,Monday,,
1953,HarperMurphy,,26-02-2024,WFH,Bangalore,Monday,,
1941,EvelynHall,,26-02-2024,WFH,Bangalore,Monday,,
1973,EmmaBishop,,26-02-2024,WFH,Bangalore,Monday,,
2214,Shawn Peterson,,26-02-2024,WFH,Bangalore,Monday,,
2017,AlexanderShaw,,26-02-2024,WFO,Bangalore,Monday,,
2018,LaylaCameron,,26-02-2024,WFO,Bangalore,Monday,,
2056,BrooklynHernandez,,26-02-2024,WFO,Bangalore,Monday,,
2057,GabrielLee,1,26-02-2024,WFH,Bangalore,Monday,,
2058,Mukund,1,26-02-2024,WFH,Bangalore,Monday,,
2005,MilaRodriguez,,26-02-2024,WFH,Bangalore,Monday,,
2024,PhoebePerry,,26-02-2024,WFH,Bangalore,Monday,,
2002,LeahGeorge,,26-02-2024,WFH,Bangalore,Monday,,
2059,Sundar,1,26-02-2024,WFH,Bangalore,Monday,,
2224,Blake Allen,,26-02-2024,WFO,Bangalore,Monday,,
2022,ScarlettKing,,26-02-2024,WFH,Bangalore,Monday,,
1946,SiennaFoster,,26-02-2024,WFH,Bangalore,Monday,,
2218,Jesse Morgan,,26-02-2024,WFO,Bangalore,Monday,,
2213,Elliot Powell,,26-02-2024,WFH,Bangalore,Monday,,
2006,LeviHudson,,26-02-2024,WFH,Bangalore,Monday,,
1957,EverlyMartin,,26-02-2024,WFH,Bangalore,Monday,,
1981,MayaWhite,,26-02-2024,WFH,Bangalore,Monday,,
1947,SkylarBryant,,26-02-2024,WFH,Bangalore,Monday,,
1781,TheodoreSanchez,,26-02-2024,WFH,Bangalore,Monday,,
2221,Casey Reed,,26-02-2024,WFO,Bangalore,Monday,,
2020,BraydenScott,,26-02-2024,WFH,Bangalore,Monday,,
2012,DavidRodriguez,,26-02-2024,WFO,Bangalore,Monday,,
2222,Alex Perry,,27-02-2024,WFH,Bangalore,Tuesday,,
